"selected","oracle cloud infrastructure foundations associate","aws certified cloud practitioner","aws certified solutions architect - associate1","aws cloud practitioner","mta security fundamentals","mta python","google cloud certified associate cloud engineer","mta java","microsoft azure fundamentals","junipernetworksjnciajunosjn0103certifiedassociate","mta49","thub","owl coder","hero vired","both","photoshop","unreal engine","react js","bootstrap","cloud","python","java script","express js","c++","sql","maya","blender","css","c#","c","company_id"
"tcs digital","1","1","0","1","0","1","0","0","0","0","0","1","1","0","0","0","1","0","1","1","1","1","1","1","0","0","0","0","1","0","1"
"vihaan electrix","1","1","0","1","0","1","0","0","0","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2"
"node js","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"mongo db","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"machine learning","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"palle technologies","1","1","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1","1","1","0","0","1","1","0","0","1","0","0","0","6"
"value momentum","1","1","0","1","1","1","0","1","0","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","7"
"jio","1","1","0","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","8"
"tech mahindra","1","1","0","1","0","1","0","0","0","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","9"
"zenq","1","1","0","1","1","1","0","0","0","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","10"
"yamaha motor electronics","1","1","1","1","0","1","1","1","0","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","11"
"hexaware","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","12"
"the tech destiny","1","0","0","0","0","1","1","0","0","0","0","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","13"
"go digit general","1","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","0","1","1","1","1","1","0","0","0","1","1","1","0","0","14"
"zf india","1","1","1","0","1","1","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","15"
"atkins","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","1","0","0","0","0","1","0","0","0","0","1","0","16"
"kyndryl","1","1","0","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","17"
"tyke","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0","1","18"
"mta java","1","1","0","1","0","1","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","0","0","0","19"
"dxc","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","20"
"kenpath technologies pvt. ltd","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"surya tech","1","1","0","1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","22"
"qspiders","1","1","0","1","0","1","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","23"
"cohance","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","24"
"hyundai steel","1","1","0","0","0","1","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","25"
"vidal","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","26"
"mahindra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","27"
"tcs ninja","1","1","0","1","0","1","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","28"
"kiml","1","1","0","0","0","1","0","1","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","29"
"delphi tvs","1","1","0","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","30"
"larsen & toubro","1","0","0","0","0","1","1","0","0","0","1","1","0","0","0","1","0","1","1","1","0","1","1","1","1","0","1","1","0","1","31"
"bscpl","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","1","1","1","1","0","1","1","1","0","1","0","32"
"sri scl infratech","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","1","0","33"
"pentagon space","1","1","0","1","1","1","1","0","1","0","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","34"
"besten engineers & consultants","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","1","0","1","1","1","0","0","0","0","35"
"techwave","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","0","36"
"ramky","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","1","1","0","1","1","0","0","0","37"
"sdvvl","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","1","1","1","1","1","1","0","0","38"
"lekha","1","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","0","0","0","1","1","0","0","0","0","0","0","39"
"ren labs","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","0","1","40"
