label,oracle_cloud_infrastructure_foundations_associate,aws_certified_cloud_practitioner,aws_certified_solutions_architect_-_associate1,aws_cloud_practitioner,mta_security_fundamentals,mta_python,google_cloud_certified_associate_cloud_engineer,mta_java,microsoft_azure_fundamentals,junipernetworksjnciajunosjn0103certifiedassociate,mta49,thub,owl_coder,hero_vired,both,photoshop,unreal_engine,react_js,bootstrap,cloud,python,java_script,express_js,c++,sql,maya,blender,css,c#,c
12pget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0
46ai,0,51,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,69,87,0,89,81,0,0,0,0,0,0,0
46ai,0,81,0,0,0,0,0,0,0,0,0,79,83,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0
46ai,0,63,0,70,0,0,0,0,0,0,0,0,78,0,0,0,0,90,0,0,88,74,0,0,0,0,0,0,0,0
46ai,78,0,0,0,0,94,0,0,88,0,0,91,90,90,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0
46ai,0,0,0,0,0,0,0,0,0,0,0,83,76,0,0,0,0,0,84,0,0,0,0,0,0,0,0,94,0,0
46ai,0,0,0,0,0,0,0,0,0,0,0,77,71,0,0,80,0,0,0,0,0,0,0,0,0,0,91,0,0,0
abb,89,90,91,84,75,67,63,52,52,68,82,81,72,70,59,46,57,55,37,38,47,31,19,15,6,4,15,22,21,29
abb,32,31,42,39,38,34,24,38,34,40,49,62,58,58,44,53,60,65,58,59,43,41,39,38,28,46,42,52,48,49
abb,54,41,37,52,50,67,80,63,68,70,78,75,83,80,90,87,92,88,93,92,83,92,94,91,79,63,72,80,71,79
abb,70,53,65,61,59,73,76,63,68,62,68,59,69,55,54,59,58,72,80,74,81,85,74,82,73,66,76,95,84,89
abb,84,76,82,74,81,67,79,91,87,72,69,68,64,62,59,51,46,47,60,68,74,74,85,92,86,92,86,93,95,94
accenture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,82,0,0,0,0,0,0,69,60
acmegrade,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,83,0,92,0,0,94,0,0,0,0,0
acmegrade,94,0,0,0,0,82,0,0,0,0,0,86,0,0,0,0,0,0,73,0,0,0,0,70,0,0,0,63,62,0
acmegrade,0,0,0,0,0,0,0,0,0,0,0,0,52,43,0,0,0,0,46,0,0,0,0,0,49,0,0,46,0,0
acmegrade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
acmegrade,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
